CustomerID,Age,Annual_Income,Spending_Score
1,56,83840,63
2,46,133451,69
3,32,66005,22
4,60,54353,93
5,25,67733,67
6,38,80318,76
7,56,82172,26
8,36,108264,16
9,40,41736,51
10,28,127859,86
11,28,127181,57
12,41,146926,29
13,53,105084,78
14,57,22392,92
15,41,70680,69
16,20,65859,47
17,39,140657,94
18,19,85467,62
19,41,113506,69
20,61,124751,76
21,47,133906,16
22,55,40342,90
23,19,121308,90
24,38,121081,48
25,50,104045,85
26,29,49698,39
27,39,125078,100
28,61,95623,33
29,42,37671,94
30,44,108384,23
31,59,101202,10
32,45,66663,69
33,33,30708,100
34,32,106906,34
35,64,64811,52
36,61,148883,95
37,20,71250,10
38,54,127547,19
39,24,139249,58
40,38,49754,96
41,26,148983,1
42,56,99896,69
43,35,86295,4
44,21,115689,16
45,42,26111,24
46,31,52504,80
47,26,147874,2
48,43,23155,92
49,19,54384,32
50,37,127561,91
51,45,62254,84
52,64,36918,24
53,24,100981,12
54,61,45306,50
55,25,61843,35
56,64,135975,33
57,52,111601,33
58,31,122512,61
59,34,126472,51
60,53,148121,43
61,57,118727,12
62,21,127893,67
63,19,35932,65
64,23,132796,33
65,59,44855,40
66,21,22400,74
67,46,132858,43
68,35,30151,44
69,43,81690,29
70,61,19499,13
71,51,21295,12
72,27,135885,95
73,53,141071,46
74,31,74040,2
75,48,27183,35
76,65,131336,87
77,32,47711,81
78,25,20539,90
79,31,141063,8
80,40,148629,93
81,57,53360,26
82,38,148272,74
83,33,36357,90
84,62,134121,34
85,35,92505,7
86,64,17869,68
87,41,65108,58
88,43,127296,75
89,42,109179,29
90,62,105272,36
91,58,53467,89
92,46,38328,21
93,32,106412,36
94,62,73871,10
95,18,143391,73
96,42,101416,24
97,24,85271,64
98,26,59064,99
99,41,122450,49
100,18,34830,99
101,61,131381,36
102,25,62333,82
103,41,149508,96
104,28,91213,24
105,34,45746,23
106,25,64377,62
107,52,69045,96
108,52,112888,37
109,50,122455,12
110,22,108179,55
111,59,60714,13
112,56,117946,23
113,58,124616,89
114,45,120983,99
115,24,139123,30
116,26,58484,17
117,25,97989,62
118,29,51212,84
119,51,58525,89
120,50,78208,86
121,65,48828,13
122,40,18420,59
123,41,111752,19
124,54,146373,49
125,52,130294,100
126,61,139019,12
127,57,80726,61
128,39,130668,19
129,44,21102,76
130,52,133015,9
131,18,41641,71
132,52,118746,28
133,54,51631,78
134,64,87991,95
135,31,19014,52
136,20,26093,83
137,18,33070,16
138,22,50777,69
139,43,71958,99
140,31,97074,12
141,56,25729,25
142,44,120864,52
143,26,145858,85
144,32,120510,100
145,32,69748,53
146,43,20801,23
147,59,44592,16
148,30,25647,57
149,49,125627,39
150,56,85316,53
151,49,17368,42
152,21,92575,58
153,47,21655,39
154,54,85031,14
155,40,102922,95
156,56,139046,5
157,62,47097,35
158,32,139862,87
159,60,133834,93
160,46,108848,75
161,53,67921,18
162,30,141141,76
163,49,37677,9
164,24,70609,74
165,39,46024,58
166,45,85313,17
167,19,142813,7
168,59,110285,46
169,62,128632,13
170,23,18051,40
171,45,129692,42
172,45,102235,9
173,61,88523,50
174,61,109476,27
175,37,32019,66
176,47,98613,5
177,28,101672,29
178,45,88847,37
179,42,97750,38
180,56,43251,83
181,50,118481,8
182,18,127566,65
183,44,40945,86
184,30,105852,17
185,58,47217,71
186,20,23308,89
187,56,20949,45
188,23,147222,4
189,25,115235,36
190,44,89740,70
191,26,131352,31
192,54,81617,19
193,50,31896,61
194,59,145798,54
195,61,20237,39
196,41,35056,91
197,32,129548,74
198,49,126488,90
199,49,149415,19
200,41,44375,39
